page_id	ratings
33766017	Low
8770607	Low
35682496	Low
40639882	Low
32954268	Low
33110360	Low
44232715	Low
39686944	Low
52278593	Low
26573997	Low
44561285	Low
9702668	Low
50078130	Low
41379268	Low
35719760	Low
31231161	Low
17043503	Low
28714501	Low
28151928	Low
20983531	Low
38119736	Low
4032347	Low
51632541	Low
7236000	Low
46341981	Low
3342295	Low
5669021	Low
21095071	Low
29214149	Low
29708700	Low
24072011	Low
41284806	Low
19649231	Low
34511071	Low
31049529	Low
39160486	Low
8625264	Low
49660853	Low
34259873	Low
2109709	Low
42509326	Low
20407945	Low
149306	Low
33175025	Low
41791762	Low
9969667	Low
22632131	Low
44961486	Low
35141209	Low
19102183	Low
51163682	Low
22259040	Low
22740431	Low
21012331	Low
12814176	Low
41229259	Low
36211136	Low
18324702	Low
53762576	Low
5269198	Low
15013049	Low
22450473	Low
21144538	Low
458424	Low
28972093	Low
36423806	Low
22274868	Low
54295271	Low
52138578	Low
52090024	Low
27958530	Low
47930716	Low
4146488	Low
42188356	Low
42634612	Low
34251595	Low
28103166	Low
28969988	Low
48898614	Low
1335881	Low
1850746	Low
870011	Low
28262362	Low
16629304	Low
15980722	Low
2255614	Low
30625791	Low
42020393	Low
10491587	Low
46514608	Low
25482212	Low
40656863	Low
27254215	Low
35288085	Low
27505705	Low
20971190	Low
1326119	Low
31702842	Low
704015	Low
19447463	Low
253197	Low
19913692	Low
212359	Low
40942830	Low
8129333	Low
25709692	Low
23223927	Low
53216126	Low
621870	Low
33043006	Low
37309396	Low
2563123	Low
49664915	Low
46174	Low
7856554	Low
49397718	Low
39209903	Low
21658267	Low
3151160	Low
1185183	Low
29386004	Low
8566976	Low
26063538	Low
50685149	Low
24534718	Low
45663604	Low
1425010	Low
21979272	Low
25114520	Low
52773999	Low
47618175	Low
28439131	Low
1203591	Low
25018545	Low
11741161	Low
35843164	Low
50917886	Low
386986	Low
2819491	Low,Low
8429856	Low
23935486	Low
48518922	Low
11979083	Low
13442847	Low
46765238	Low
29246905	Low
54240065	Low
18353071	Low
42311767	Low
168205	Low
54284332	Low
9126033	Low,Low
28961443	Low
3474537	Low
13760322	Low
50578205	Low
54286731	Low
11027377	Low
3349568	Low
27155637	Low
40147897	Low
24176353	Low
41781898	Low
6023568	Low
20901803	Low
1477327	Low
47040558	Low
5021849	Low
13123690	Low
45615554	Low
1578510	Low
27582347	Low
2912933	Low
21368113	Low
29205514	Low
4733424	Low
36595985	Low
38813591	Low
1276719	Low
22460260	Low
27985704	Low
36320824	Low
28002580	Low
47370783	Low
33668554	Low
28211397	Low
26966365	Low
1675976	Low
36948358	Low
36543224	Low
47160471	Low
22887012	Low
33220780	Low
21106662	Low
33248903	Low
8915368	Low
3054406	Low
53345019	Low
53071692	Low
4583552	Low
36367648	Low
40732699	Low
36531629	Low
6307171	Low
26917960	Low
1463117	Low
25453472	Low
52830327	Low
3239798	Low
20723169	Low
18779232	Low
54285103	Low
42605715	Low
21438344	Low
14590314	Low
10469141	Low
21038835	Low
16075960	Low
46396300	Low
31920	Low,Low
12668040	Low
5157092	Low
16717482	Low
30961559	Low
5638993	Low
437086	Low
32746892	Low
5562738	Low
8434819	Low
7795478	Low
11843767	Low
50869512	Low
29095362	Low
35634566	Low
20574015	Low
28850136	Low
22028551	Low
18514732	Low
54292821	Low
1754312	Low
26007796	Low
7707870	Low
14079292	Low
35830787	Low
612721	Low
2776681	Low
16193552	Low
22292384	Low
16818556	Low
17861984	Low
33796594	Low
49716245	Low
5785865	Low
44951695	Low
11967655	Low
25824619	Low
30411187	Low
39697798	Low
23932374	Low
45110153	Low
10558366	Low
3433744	Low,Low
5113106	Low
15587683	Low
5681094	Low
25968661	Low
50216221	Low
18890642	Low
1704517	Low
53269235	Low
20201297	Low
42502646	Low
657142	Low
36926980	Low
24154230	Low
11989695	Low
44484025	Low
442398	Low
11914897	Low
147968	Low
46231410	Low
20058790	Low
38389605	Low
24124270	Low
2124582	Low
34567346	Low
51138462	Low
47088972	Low
33635841	Low
48484247	Low
4298423	Low
37224300	Low
21325256	Low
172002	Low
27287230	Low
1833228	Low
12202838	Low
42199054	Low
25175287	Low
40854296	Low
15022808	Low
27369470	Low
12671604	Low
17083867	Low
42812713	Low
1274346	Low
26317483	Low
39831755	Low
24354210	Low
49971992	Low
41507470	Low
11934642	Low
29400081	Low
22945336	Low
19468465	Low
18353561	Low
16818082	Low
51517498	Low
18317544	Low
8326620	Low
32277583	Low
1493947	Low,Low
31587600	Low
894262	Low
40159068	Low
7811105	Low,Low
51495589	Low
37441422	Low
3325221	Low
28844181	Low
53984662	Low
1490657	Low
40481037	Low
50023704	Low
43044522	Low
41252860	Low
40661693	Low
21658427	Low
41998648	Low
8808551	Low
32078680	Low,Low
13980869	Low
2974958	Low
24310060	Low
30943915	Low
23927756	Low
44789299	Low
1123879	Low
21636305	Low
5064727	Low
1923488	Low
3456450	Low
49344479	Low
40943975	Low
19667544	Low
33842951	Low
51218471	Low
24997524	Low
332245	Low
