page_id	n_clicks	n_from_art	n_act_links	n_from_proj	n_proj_act
43937	51159	12020	255	3662	74
13311819	16903	3566	88	2197	56
3853380	24107	1829	27	1395	16
21742039	1884	33	2	11	1
191304	38442	4480	79	2743	45
27154	56583	17299	246	10786	167
25949	35947	13366	186	8209	52
198491	49505	4902	68	1816	30
228824	44464	3732	70	1183	15
20684275	2831	631	7	549	5
2554499	6601	1058	22	453	10
28598	111310	7876	104	5813	71
276846	13641	2665	48	1762	29
7012	32601	6197	70	2987	40
231286	8337	2238	19	473	8
20840716	24946	3139	35	2905	32
8005	22078	2836	90	962	31
484630	0	0	0	0	0
22978380	4924	185	7	120	4
166912	8839	509	21	263	9
412753	34247	6517	80	4216	42
1041031	25081	3089	27	2342	19
562943	64564	14409	40	13874	35
167166	21657	2074	76	1574	56
146396	28499	3015	57	2657	47
286403	37246	7539	70	2222	35
197002	38573	2935	74	2383	59
24679621	99	25	1	25	1
43946	29001	3077	76	1013	21
28695746	4654	187	5	159	4
14194	21255	1666	46	986	27
236352	1717	158	2	158	2
28755089	8185	513	9	450	7
28862297	825	42	3	42	3
24514	122775	30600	292	22463	142
238864	14108	2345	50	1424	29
26569604	1597	621	1	621	1
390926	9891	726	13	667	10
1099396	11144	541	22	270	11
5113106	149	0	0	0	0
146072	28358	5528	107	2725	61
26477290	14968	5136	45	4661	35
13912606	10931	1024	13	909	11
9819863	5445	1272	13	174	4
398561	25762	4354	65	3704	46
18707721	8629	1112	6	282	4
19681345	84864	10201	123	3784	13
1099391	5188	989	11	270	9
27289540	10061	531	4	392	3
3046797	15666	269	7	36	2
18597893	68275	6928	89	2365	36
5617	74263	16247	91	10116	46
25350412	1433	167	4	140	3
13059707	13735	3012	3	3012	3
1564401	7102	806	17	402	9
253721	18487	1935	42	1070	15
1810614	4989	578	19	238	9
1588678	49361	5710	70	1440	30
2246554	32725	6944	56	814	9
2157713	11996	336	12	301	10
234806	174383	20009	218	7953	81
48392	34562	2904	68	2120	43
6949	48041	4675	97	3620	72
2205924	4911	414	10	332	7
57761	53917	6364	104	4256	71
430380	86584	4022	106	2251	65
223208	55468	5840	52	4479	36
38310	110354	13559	137	5387	30
31596	172487	18926	190	7197	55
397007	57165	7754	124	6039	89
393023	45411	2106	37	1130	16
696132	38382	4918	46	2309	29
31322039	3380	536	7	468	5
3062619	18998	1303	21	1034	19
15845253	18900	3698	51	3062	39
4116856	5748	613	13	150	7
20377	63967	7681	181	2825	49
29686197	68545	10933	137	4771	57
477489	27595	3009	41	1473	26
29847460	8985	273	6	51	2
47489	8252	497	14	227	6
60575	99407	32419	258	8696	100
990505	32165	2838	66	1604	31
8924394	4440	377	2	377	2
17908306	3491	148	7	106	5
581931	25850	4459	39	1828	26
11618357	992	52	2	0	0
1257123	9794	1563	22	1323	16
146315	34408	7266	176	3439	104
21582649	583	100	1	100	1
26799151	14312	707	10	400	5
18369319	951	169	7	97	6
25477045	1392	225	4	181	3
14441062	1232	82	3	82	3
26833	112126	14725	219	355	9
20495880	2266	351	5	351	5
7753430	164265	22990	245	7101	31
4475349	28417	2362	32	1619	12
1775361	6241	400	15	354	12
12437	32324	6746	140	5263	103
56873	58114	4181	65	1830	33
1558567	27184	3569	43	2966	28
647286	9396	1906	30	1527	25
26096048	3326	126	3	80	1
3655491	3890	238	7	223	6
411914	11307	2265	29	741	18
82974	135841	24986	366	9886	126
33939070	157	39	1	0	0
48614	20600	1199	26	567	14
34017095	443	61	3	26	1
185272	22258	6986	66	5232	42
10013	17416	2392	54	850	26
153807	30898	2112	34	829	22
18994221	39959	2696	90	604	25
53951	88120	8897	172	5867	115
715934	18790	2886	69	481	10
1525	137928	12250	182	6778	92
326357	16399	3977	90	1641	30
183049	4215	1713	13	1680	11
14862502	27214	2013	27	1878	21
92394	32609	5525	60	4642	43
29289141	407	19	1	0	0
1554081	38487	1509	21	998	12
14402695	1952	503	12	218	5
2340554	7897	2292	40	1778	20
19468046	78903	15716	207	12625	164
5750	106477	16749	204	10041	115
35038133	44523	9692	187	4884	79
35672535	755	70	2	70	2
26912024	6660	692	6	613	5
5955888	12371	1991	27	1619	17
1021239	62937	27585	34	1944	22
19846567	1656	214	3	214	3
32103193	1291	151	4	28	1
202522	38373	11738	152	4322	57
665554	3394	665	9	156	4
36014836	4345	13	1	0	0
1002640	9595	1357	24	637	13
295486	12502	1884	28	851	12
429680	6454	885	42	662	32
439973	26527	4564	108	1608	32
18881907	791	73	2	41	1
19592348	18760	4253	73	1268	14
1254640	7451	1035	24	197	7
33067333	3667	109	6	57	3
26639763	2787	36	2	0	0
20345388	7369	424	10	378	9
466440	90500	8624	71	6808	49
6909733	485	85	1	0	0
903152	13641	3659	49	715	15
2705217	32144	812	19	319	5
1805	109998	13176	299	9057	182
14579421	15639	824	4	590	2
9587	94189	10876	187	2242	32
56531	6241	838	21	764	17
1973352	6757	425	15	403	13
492052	24102	2947	41	2160	30
92396	83701	9246	106	3770	34
37938321	2206	226	6	226	6
