page_id	n_clicks	n_from_art	n_act_links	n_from_proj	n_proj_act
19102	2495	228	7	146	2
19132	3296	233	7	149	2
19184	1387	283	7	185	1
19206	3167	394	10	279	4
56977	305	121	1	121	1
19296	6816	614	14	439	5
57020	2344	296	7	198	1
21297	3304	354	6	270	1
21378	2001	238	7	153	2
25631	227	0	0	0	0
57001	329	0	0	0	0
27283	2766	541	7	457	2
27303	1743	305	8	201	2
27313	2387	232	7	132	1
27362	4763	294	5	243	2
27372	16610	1701	22	1067	6
32355602	2437	197	2	197	2
27426	3760	303	3	303	3
27456	1701	193	7	96	1
30123	5442	399	10	285	4
7910484	845	375	5	375	5
5483	2224	272	6	188	1
57007	631	95	1	95	1
8025	4304	554	9	438	2
69593	8390	1172	11	1088	6
25499	1740	232	6	148	1
30143	1546	179	6	96	1
50813	2746	353	9	252	3
56924	3606	368	11	284	6
33225	843	123	4	123	4
34433	4255	319	10	208	3
34404	7415	958	15	584	2
2313092	5491	43	3	29	2
4546752	2575	182	1	182	1
18102937	645	52	1	52	1
18102998	408	34	1	34	1
18103048	579	28	1	28	1
3824279	714	53	2	53	2
11359054	527	42	1	42	1
18103206	1521	100	4	61	2
18103228	852	60	1	60	1
5533699	11263	267	6	108	1
3612904	1238	88	1	88	1
16577199	598	39	1	39	1
18103265	1421	33	1	33	1
3290481	10979	484	12	202	2
32357151	921	46	2	46	2
3051741	1991	51	2	51	2
18103291	637	40	2	40	2
18103027	437	30	1	30	1
16078693	347	28	1	28	1
5933921	1326	63	1	63	1
11360241	797	35	1	35	1
2076047	3976	147	5	147	5
15295739	4056	198	6	156	4
3959583	3027	759	20	199	6
3059664	172	0	0	0	0
6554650	1258	213	12	134	7
8087628	253821	41568	728	14508	139
377373	6424	1282	20	797	6
9354	10643	2735	32	1130	7
14572625	9271	2726	24	364	4
8625429	680	124	5	44	1
21069417	26742	5688	66	656	4
31912046	22511	3195	50	2054	17
18489121	764	149	6	137	5
2323118	1076	86	6	62	4
1273029	1726	267	6	38	1
924108	188	13	1	13	1
1379036	1000	67	3	55	2
4610065	213	0	0	0	0
9449104	582	96	5	67	4
530476	14603	495	12	206	5
12340904	739	85	3	73	2
22568176	291	170	1	170	1
