page_id	wikidata_id	num_inlinks	num_proj_inlinks	num_views
634056	Q990430	748	207	11840
23007443	Q14950868	4	0	196
44732961	Q14918446	95	83	874
10467648	Q6793024	27	22	415
42476199	Q16751694	24	13	376
46378293	Q20128770	2	1	368
15765416	Q2662066	192	178	373
52195425	Q28448619	95	95	9204
11449590	Q4583242	106	100	917
2003234	Q1097677	637	572	15044
2379396	Q1439314	417	394	1551
2270352	Q609860	209	14	16239
41468335	Q16012156	62	60	218
14604250	Q4601985	205	192	679
10105354	Q4609224	180	163	1691
53692633		96	91	277
11194603	Q6591947	135	120	2216
14877412	Q2426126	217	191	414
1339477	Q731677	747	710	972
15607589	Q4574481	236	221	1437
43455736	Q17484127	23	17	209
11061916	Q857634	529	396	25367
18733271	Q4576603	171	161	336
41378720	Q16989023	197	181	3936
8898185	Q3334369	21	7	639
4701518	Q6791511	23	17	346
10649622	Q2787561	150	136	540
12267042	Q4605055	213	201	987
46310094	Q975275	456	330	2790
19503381	Q4572376	200	151	334
19387754	Q4577242	208	193	594
48315078	Q21176233	9	6	180
21719	Q193390	6175	3755	128435
16727842	Q4585149	154	147	988
14341576	Q7360868	23	16	766
2130947	Q1066758	917	743	2124
44431346	Q18630817	6	2	450
1142204	Q3991352	555	402	18352
23890733	Q7817019	15	13	257
10509537	Q6105320	15	10	506
52069599	Q28448365	149	140	18918
43638088	Q18159152	39	36	72
37982259	Q2657605	250	215	5794
2771173	Q457791	604	573	1726
44275902	Q18706291	24	0	367
43466556	Q17496569	66	61	323
25705474	Q4617629	183	166	1349
33404145	Q16825198	20	17	124
14877607	Q4589492	157	146	563
44358311	Q18631324	84	71	1545
44484392	Q18702430	231	217	2411
43726861	Q18148219	15	0	329
21959149	Q4566299	11	9	78
12714799	Q6820816	152	114	779
42811778	Q17198476	4	0	1421
13983211	Q2907457	116	103	381
41962590	Q16234655	173	147	3157
46743192	Q862190	29	26	201
21679023	Q2195757	21	21	250
12771371	Q6196913	8	2	112
17972193	Q4582273	142	137	628
44824876	Q18684892	32	11	232
21945866	Q4565959	9	8	212
52589489	Q28012386	5	4	257
33691872	Q6163664	8	1	191
12055868	Q6667849	92	85	918
11171219	Q3515288	156	143	706
12240561	Q6565163	142	127	1593
34087320	Q5622490	15	3	122
34149110	Q7860063	254	199	5890
46679265	Q20707094	52	20	295
32966579	Q3820601	105	93	1356
7712112	Q6271217	26	21	617
19566334	Q4589668	186	165	859
29456788	Q14950149	13	12	332
1902350	Q5386132	14	10	355
21318445	Q4571606	237	201	332
39408454	Q14951064	221	199	12354
46431148	Q19975364	32	30	265
21571825	Q2270900	45	43	75
14655799	Q4575562	228	207	583
15124443	Q2663194	169	156	214
44633051	Q18630829	92	77	555
10361093	Q3515572	127	123	768
15955525	Q2787480	175	163	780
9300943	Q4580592	249	228	575
10361912	Q4580516	139	134	548
53557208	Q29033483	3	2	347
20871945	Q3880356	169	155	1004
37982200	Q2656854	200	187	2995
46633322	Q19878614	83	65	874
7574767	Q889130	686	585	25220
190024	Q1374361	899	799	14942
8799452	Q4584382	224	201	854
43924426	Q18148132	126	0	1096
16677793	Q4578242	207	192	477
11133369	Q4685194	13	12	168
4156875	Q5570156	351	310	1435
18826244	Q2908129	158	147	331
9856223	Q6196896	99	95	497
15386542	Q4574154	136	124	436
15986484	Q4592842	149	127	1002
43480678	Q17626882	4	2	246
10122276	Q4609329	189	173	879
17451389	Q6702377	17	5	270
21540563	Q2274257	39	39	350
7864398	Q7702921	19	12	528
3495470	Q1122216	740	354	11896
539663	Q17021450	348	91	1169
18986759	Q4600334	138	129	873
16678524	Q2661146	196	177	347
17626964	Q3489200	13	0	2481
5253563	Q14951185	25	9	358
1241808	Q2329520	327	287	10159
7631166	Q3675493	75	46	587
1240747	Q1164813	812	479	4672
47340457	Q20740834	14	7	225
1247876	Q3246612	169	142	1564
15986322	Q4584475	149	130	422
50187021	Q23887443	6	4	246
36509257	Q4717271	61	59	183
15412835	Q2909199	122	110	341
21595333	Q7298102	32	27	355
402607	Q505423	1171	1020	42673
2766942	Q6591155	144	130	2329
15597028	Q4610645	180	166	1161
11281272	Q4592339	167	156	1449
35747551	Q5524596	28	11	279
22930652	Q3019018	77	63	660
5833537	Q1670915	266	243	530
487561	Q153312	2009	254	16181
17077809	Q6598176	225	209	2543
8781560	Q2425937	194	171	428
19401363	Q4581134	210	196	628
23744047	Q6850602	54	39	199
44420676	Q18645736	8	3	118
37982115	Q2656023	162	150	1469
